ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
58300,Kai Kazmirek,M,25.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's Decathlon,,Germany
58422,Susanne Keil,F,26.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's Hammer Throw,,Germany
58524,Martin Keller,M,21.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
58550,"Rosina ""Rosa"" Kellner (-Schimpfauer)",F,18.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Women's 4 x 100 metres Relay,Bronze,Germany
58823,Erwin Kern,M,23.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 100 metres,,Germany
58823,Erwin Kern,M,23.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
58863,Manfred Kersch,M,22.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 100 metres,,Germany
58925,Sonja Kesselschlger,F,26.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's Heptathlon,,Germany
58925,Sonja Kesselschlger,F,30.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's Heptathlon,,Germany
58968,Emil Ketterer,M,28.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 100 metres,,Germany
58985,Julius Keyl,M,22.0,Germany,1900 Summer,1900,Summer,Paris,Track & Field,Athletics Men's 100 metres,,Germany
59643,Ellen Kieling (-Buchleitner),F,24.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,"Athletics Women's 1,500 metres",,Germany
59719,Inge Kilian (-Offermann),F,21.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's High Jump,,Germany
59732,Gertrud Kille (Schlter-),F,27.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's Shot Put,,Germany
60449,Manfred Kinder,M,22.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's 400 metres,,Germany
60449,Manfred Kinder,M,22.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's 4 x 400 metres Relay,Silver,Germany
60449,Manfred Kinder,M,26.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's 800 metres,,Germany
60449,Manfred Kinder,M,26.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
60656,Simon Kirch,M,28.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
60797,Linda Kisabaka (-Iwan),F,23.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 4 x 400 metres Relay,,Germany
60797,Linda Kisabaka (-Iwan),F,27.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 800 metres,,Germany
60797,Linda Kisabaka (-Iwan),F,27.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 4 x 400 metres Relay,Bronze,Germany
